                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77507,                 2.4794,                  1.066,                0.07712,                0.82759,                0.60516,                0.42732,                0.79296,                 3.1038,                0.95613,                0.00032,                0.00032,                0.00032
                      2,                0.77068,                 1.5305,                 1.0044,                      1,                 0.1625,                0.74964,                0.57032,                0.89677,                 3.1349,                 1.0175,             0.00065347,             0.00065347,             0.00065347
                      3,                0.81671,                 1.4015,                 1.0193,                0.88874,                0.31034,                0.45771,                0.26632,                 1.0263,                 3.3688,                 1.2359,              0.0009802,              0.0009802,              0.0009802
                      4,                 0.8415,                 1.3811,                  1.061,                0.68214,                0.51724,                0.62843,                0.32808,                 1.2537,                 2.9269,                 1.3631,              0.0013002,              0.0013002,              0.0013002
                      5,                0.87373,                 1.4072,                 1.0678,                0.65711,                0.27586,                0.32937,                0.18225,                 1.2022,                 3.3157,                 1.5639,              0.0016135,              0.0016135,              0.0016135
                      6,                0.99367,                 1.3522,                 1.1422,                0.48155,                0.56586,                0.48628,                0.29242,                 1.1265,                 2.7581,                 1.3276,               0.001901,               0.001901,               0.001901
                      7,                0.87813,                 1.2217,                 1.0795,                0.41934,                0.43678,                0.42025,                0.29355,                 1.0934,                  2.618,                 1.3433,              0.0018812,              0.0018812,              0.0018812
                      8,                0.88706,                 1.1646,                 1.0857,                0.26339,                0.48276,                 0.2141,                0.12113,                 1.3392,                 3.0306,                 1.5519,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89147,                 1.1179,                 1.0739,                 0.6859,                0.52712,                0.62584,                0.41619,                 1.0417,                 2.2759,                 1.2879,              0.0018416,              0.0018416,              0.0018416
                     10,                0.85103,                 1.0324,                 1.0662,                0.93232,                0.90805,                0.94394,                0.71648,                0.81188,                 1.2774,                 1.1248,              0.0018218,              0.0018218,              0.0018218
                     11,                0.84915,                 1.0047,                 1.0578,                0.67647,                 0.8046,                0.77008,                0.48541,                 1.0126,                 1.5974,                 1.2499,               0.001802,               0.001802,               0.001802
                     12,                0.88901,                 1.0145,                 1.0701,                0.96157,                0.83908,                 0.9378,                0.68136,                0.91027,                 1.1278,                  1.191,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.8502,                0.91217,                 1.0326,                 0.9291,                0.90371,                0.95281,                0.73109,                0.86634,                 1.0252,                  1.123,              0.0017624,              0.0017624,              0.0017624
                     14,                0.83739,                0.87583,                 1.0509,                0.89366,                0.86207,                0.92166,                0.68216,                0.93005,                 1.1406,                 1.1475,              0.0017426,              0.0017426,              0.0017426
                     15,                0.80843,                0.90684,                 1.0052,                0.81548,                 0.8128,                0.89497,                0.62612,                0.95427,                 1.0733,                 1.1769,              0.0017228,              0.0017228,              0.0017228
                     16,                0.79748,                0.82649,                 1.0133,                0.85951,                0.84387,                0.88881,                 0.6697,                0.91731,                 1.0948,                 1.0883,               0.001703,               0.001703,               0.001703
                     17,                0.81276,                0.80302,                 1.0206,                0.94254,                0.88506,                0.95832,                0.72822,                0.85733,                0.87376,                 1.0254,              0.0016832,              0.0016832,              0.0016832
                     18,                0.71266,                0.79498,                 1.0028,                0.98168,                0.91954,                0.97505,                0.77433,                0.76552,                0.68326,                0.99899,              0.0016634,              0.0016634,              0.0016634
                     19,                0.73349,                0.73156,                0.98947,                0.93971,                0.96552,                0.97731,                0.73514,                0.79338,                0.75337,                  1.045,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75148,                0.72723,                  1.019,                0.93406,                0.89655,                0.96359,                0.71245,                0.85449,                0.89201,                 1.1096,              0.0016238,              0.0016238,              0.0016238
                     21,                0.75636,                0.72019,                0.99832,                0.92943,                0.89655,                0.96001,                 0.7509,                0.80409,                 0.8155,                  1.051,               0.001604,               0.001604,               0.001604
                     22,                0.74862,                0.66264,                 1.0077,                0.97718,                0.88506,                 0.9662,                 0.7203,                0.83405,                0.77444,                 1.0611,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.7467,                0.70411,                 1.0086,                 0.9518,                0.90793,                0.95735,                0.69624,                0.85972,                0.81823,                 1.0896,              0.0015644,              0.0015644,              0.0015644
                     24,                0.72296,                0.66834,                 1.0208,                 0.8304,                0.88506,                0.94188,                0.71929,                0.81313,                0.80236,                 1.0338,              0.0015446,              0.0015446,              0.0015446
                     25,                0.70174,                0.63362,                0.98565,                0.91902,                0.94253,                0.97726,                0.79149,                0.71119,                0.62865,                0.97236,              0.0015248,              0.0015248,              0.0015248
                     26,                0.73223,                0.64019,                 1.0193,                0.97592,                0.93164,                0.97904,                0.79111,                0.73976,                0.64088,                 0.9793,               0.001505,               0.001505,               0.001505
                     27,                 0.7166,                0.60935,                 0.9819,                0.95483,                0.97189,                0.98672,                0.78016,                0.66641,                0.72388,                0.94099,              0.0014852,              0.0014852,              0.0014852
                     28,                0.70932,                0.65451,                0.98612,                0.96555,                0.96636,                  0.992,                0.78479,                0.73346,                0.62057,                 0.9748,              0.0014654,              0.0014654,              0.0014654
                     29,                0.68429,                0.64749,                0.96641,                0.93029,                 0.9203,                0.98394,                0.78882,                0.66137,                0.60661,                0.94808,              0.0014456,              0.0014456,              0.0014456
                     30,                0.67334,                0.61449,                0.96455,                 0.9452,                0.99135,                0.99229,                0.80702,                 0.6937,                0.50819,                0.95985,              0.0014258,              0.0014258,              0.0014258
                     31,                0.63021,                0.56285,                0.94831,                0.98578,                0.98851,                0.99386,                0.79895,                0.71334,                0.53738,                0.96172,               0.001406,               0.001406,               0.001406
                     32,                0.63949,                0.58405,                0.96516,                0.99883,                0.97701,                0.99423,                0.82852,                0.68291,                0.49448,                0.92773,              0.0013862,              0.0013862,              0.0013862
                     33,                0.61413,                0.52984,                0.95229,                0.95213,                0.98851,                0.99219,                0.82046,                0.64946,                0.52522,                0.92263,              0.0013664,              0.0013664,              0.0013664
